marca_masina,anul_fabricatiei,pretul,km_parcursi,tip_combustibil,tip_caroserie,tip_cutie_de_viteza
Ford,2019,7650,293000,Diesel,Hatchback,Manuală
Mazda,2009,2650,147000,Benzină,Hatchback,Manuală
Audi,2013,8750,247345,Diesel,Break,Automată
Dacia,2017,6550,89000,Benzină,Autovehicul mic,Manuală
Volkswagen,2007,3790,265000,Diesel,Hatchback,Manuală
BMW,2018,14300,197700,Diesel,Monovolum,Automată
Audi,2012,9000,173800,Benzină,Hatchback,Manuală
Audi,2015,16500,106000,Benzină,Berlină,Automată
Chevrolet,2011,3500,90500,Benzină,Hatchback,Manuală
Mercedes-Benz,2008,2200,128000,Benzină,Berlină,Automată
Renault,2017,15498,174543,Diesel,Monovolum,Automată (dublu ambreiaj)
Volkswagen,2012,5650,200000,Benzină,Hatchback,Manuală
Dacia,2013,5950,173000,Diesel,Break,Manuală
Volkswagen,2015,12250,158536,Diesel,Berlină,Manuală
Ford,2015,6999,204000,Diesel,Break,Automată
Citroen,2009,2600,257840,Diesel,Hatchback,Manuală
Dacia,2022,17000,68000,Diesel,SUV,Manuală
Toyota,2013,4550,135663,Benzină,Berlină,Manuală
Volkswagen,2011,13700,85100,Diesel,SUV,Automată
Volkswagen,2007,2500,330000,Diesel,Break,Manuală
Opel,2011,4900,191300,Diesel,Berlină,Automată
Volkswagen,2014,10100,260000,Diesel,Coupe,Automată
Volkswagen,2010,6500,239470,Diesel,Limuzină,Automată
Mazda,2015,11800,195400,Diesel,SUV,Automată
Volkswagen,2020,15000,22570,Electric,Hatchback,Automată
Peugeot,2020,26950,25000,Benzină,SUV,Automată
SsangYong,2024,21000,4000,Benzină,SUV,Automată
BMW,2018,25690,170000,Benzină,SUV,Automată
Opel,2020,8650,225000,Diesel,Microbuz,Manuală
Mini,2010,4000,196000,Benzină,Hatchback,Manuală
Audi,2015,11800,249000,Diesel,Break,Manuală
Opel,2011,5850,143000,Benzină,Hatchback,Manuală
Alfa Romeo,2012,6390,140000,Benzină,Hatchback,Manuală
Volkswagen,2017,8190,283000,Diesel,Microbuz,Manuală
